====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep136  loss 0.2167 (pw 0.0024 harm 1.7633)  [6s, 8,555 win/s]
  ep137  loss 0.2142 (pw 0.0023 harm 1.7476)  [6s, 8,589 win/s]
  ep138  loss 0.2158 (pw 0.0023 harm 1.7572)  [6s, 8,544 win/s]
  ep139  loss 0.2133 (pw 0.0022 harm 1.7684)  [6s, 8,490 win/s]
  ep140  loss 0.2105 (pw 0.0022 harm 1.7519)  |  MAE 4.289W  F1 0.9233  저항3종 0.989  잔차 27.0W  [6s 학습 / 0s 평가, 8,541 win/s]
  ep141  loss 0.2152 (pw 0.0024 harm 1.7533)  [6s, 8,536 win/s]
  ep142  loss 0.2148 (pw 0.0023 harm 1.7721)  [6s, 8,639 win/s]
  ep143  loss 0.2153 (pw 0.0023 harm 1.7645)  [6s, 8,754 win/s]
  ep144  loss 0.2105 (pw 0.0022 harm 1.7495)  [6s, 8,679 win/s]
  ep145  loss 0.2154 (pw 0.0023 harm 1.7897)  [6s, 8,500 win/s]
  ep146  loss 0.2138 (pw 0.0022 harm 1.7636)  [6s, 8,603 win/s]
  ep147  loss 0.2128 (pw 0.0022 harm 1.7588)  [6s, 8,578 win/s]
  ep148  loss 0.2114 (pw 0.0022 harm 1.7680)  [6s, 8,557 win/s]
  ep149  loss 0.2105 (pw 0.0022 harm 1.7513)  [6s, 8,539 win/s]
  ep150  loss 0.2118 (pw 0.0022 harm 1.7593)  |  MAE 4.284W  F1 0.9222  저항3종 0.991  잔차 27.5W  [6s 학습 / 0s 평가, 8,723 win/s]
  ep151  loss 0.2167 (pw 0.0023 harm 1.7812)  [6s, 8,742 win/s]
  ep152  loss 0.2149 (pw 0.0022 harm 1.7740)  [6s, 8,728 win/s]
  ep153  loss 0.2125 (pw 0.0022 harm 1.7744)  [6s, 8,777 win/s]
  ep154  loss 0.2107 (pw 0.0022 harm 1.7664)  [6s, 8,772 win/s]
  ep155  loss 0.2098 (pw 0.0022 harm 1.7511)  [6s, 8,746 win/s]
  ep156  loss 0.2192 (pw 0.0023 harm 1.7952)  [6s, 8,764 win/s]
  ep157  loss 0.2134 (pw 0.0022 harm 1.7720)  [6s, 8,717 win/s]
  ep158  loss 0.2171 (pw 0.0023 harm 1.7743)  [6s, 8,628 win/s]
  ep159  loss 0.2117 (pw 0.0022 harm 1.7536)  [6s, 8,683 win/s]
  ep160  loss 0.2108 (pw 0.0022 harm 1.7584)  |  MAE 4.969W  F1 0.9210  저항3종 0.977  잔차 27.8W  [6s 학습 / 0s 평가, 8,674 win/s]
  ep161  loss 0.2124 (pw 0.0023 harm 1.7685)  [6s, 8,505 win/s]
  ep162  loss 0.2128 (pw 0.0022 harm 1.7742)  [6s, 8,580 win/s]
  ep163  loss 0.2126 (pw 0.0022 harm 1.7586)  [6s, 8,764 win/s]
  ep164  loss 0.2129 (pw 0.0022 harm 1.7604)  [6s, 8,747 win/s]
  ep165  loss 0.2126 (pw 0.0022 harm 1.7697)  [6s, 8,726 win/s]
  ep166  loss 0.2097 (pw 0.0022 harm 1.7580)  [6s, 8,760 win/s]
  ep167  loss 0.2134 (pw 0.0022 harm 1.7625)  [6s, 8,737 win/s]
  ep168  loss 0.2119 (pw 0.0022 harm 1.7777)  [6s, 8,790 win/s]
  ep169  loss 0.2112 (pw 0.0022 harm 1.7554)  [6s, 8,706 win/s]
  ep170  loss 0.2114 (pw 0.0022 harm 1.7583)  |  MAE 3.381W  F1 0.9274  저항3종 0.996  잔차 24.9W  [6s 학습 / 0s 평가, 8,754 win/s]
  ep171  loss 0.2128 (pw 0.0022 harm 1.7736)  [6s, 8,685 win/s]
  ep172  loss 0.2135 (pw 0.0022 harm 1.7877)  [6s, 8,635 win/s]
  ep173  loss 0.2080 (pw 0.0021 harm 1.7578)  [6s, 8,656 win/s]
  ep174  loss 0.2130 (pw 0.0022 harm 1.7775)  [6s, 8,751 win/s]
  ep175  loss 0.2119 (pw 0.0021 harm 1.7783)  [6s, 8,780 win/s]
  ep176  loss 0.2106 (pw 0.0021 harm 1.7715)  [6s, 8,743 win/s]
  ep177  loss 0.2111 (pw 0.0022 harm 1.7604)  [6s, 8,763 win/s]
  ep178  loss 0.2116 (pw 0.0021 harm 1.7774)  [6s, 8,759 win/s]
  ep179  loss 0.2109 (pw 0.0022 harm 1.7663)  [6s, 8,717 win/s]
  ep180  loss 0.2077 (pw 0.0021 harm 1.7471)  |  MAE 3.698W  F1 0.9245  저항3종 0.993  잔차 26.2W  [6s 학습 / 0s 평가, 8,735 win/s]
  ep181  loss 0.2115 (pw 0.0022 harm 1.7682)  [6s, 8,731 win/s]
  ep182  loss 0.2115 (pw 0.0021 harm 1.7722)  [6s, 8,765 win/s]
  ep183  loss 0.2135 (pw 0.0022 harm 1.7871)  [6s, 8,714 win/s]
  ep184  loss 0.2123 (pw 0.0022 harm 1.7814)  [6s, 8,773 win/s]
  ep185  loss 0.2106 (pw 0.0021 harm 1.7827)  [6s, 8,793 win/s]
  ep186  loss 0.2092 (pw 0.0021 harm 1.7677)  [6s, 8,722 win/s]
  ep187  loss 0.2114 (pw 0.0021 harm 1.7807)  [6s, 8,739 win/s]
  ep188  loss 0.2103 (pw 0.0021 harm 1.7808)  [6s, 8,716 win/s]
  ep189  loss 0.2098 (pw 0.0021 harm 1.7639)  [6s, 8,690 win/s]
  ep190  loss 0.2065 (pw 0.0021 harm 1.7524)  |  MAE 4.681W  F1 0.9220  저항3종 0.984  잔차 27.5W  [6s 학습 / 0s 평가, 8,704 win/s]
  ep191  loss 0.2063 (pw 0.0021 harm 1.7469)  [6s, 8,720 win/s]
