====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 170752c24955c352 | 타깃 3539/3600
모델 0.60M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60 — 독립 창 300,000개 (13.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep197  loss 0.1738 (pw 0.0008 harm 1.5846)  [5s, 9,307 win/s]
  ep198  loss 0.1764 (pw 0.0008 harm 1.5981)  [5s, 9,307 win/s]
  ep199  loss 0.1769 (pw 0.0008 harm 1.6201)  [5s, 9,307 win/s]
  ep200  loss 0.1708 (pw 0.0008 harm 1.5583)  |  MAE 3.037W  F1 0.9583  저항3종 0.998  잔차 24.2W  [5s 학습 / 0s 평가, 9,305 win/s]
  ep201  loss 0.1755 (pw 0.0008 harm 1.6048)  [5s, 9,291 win/s]
  ep202  loss 0.1756 (pw 0.0008 harm 1.6040)  [5s, 9,454 win/s]
  ep203  loss 0.1758 (pw 0.0008 harm 1.6155)  [5s, 9,624 win/s]
  ep204  loss 0.1734 (pw 0.0008 harm 1.5821)  [5s, 9,629 win/s]
  ep205  loss 0.1726 (pw 0.0008 harm 1.5777)  [5s, 9,637 win/s]
  ep206  loss 0.1739 (pw 0.0008 harm 1.5977)  [5s, 9,238 win/s]
  ep207  loss 0.1736 (pw 0.0008 harm 1.5834)  [5s, 9,300 win/s]
  ep208  loss 0.1753 (pw 0.0008 harm 1.6041)  [5s, 9,319 win/s]
  ep209  loss 0.1728 (pw 0.0008 harm 1.5848)  [5s, 9,332 win/s]
  ep210  loss 0.1730 (pw 0.0008 harm 1.5883)  |  MAE 3.075W  F1 0.9569  저항3종 0.997  잔차 24.1W  [5s 학습 / 0s 평가, 9,309 win/s]
  ep211  loss 0.1703 (pw 0.0007 harm 1.5623)  [5s, 9,321 win/s]
  ep212  loss 0.1705 (pw 0.0008 harm 1.5634)  [5s, 9,320 win/s]
  ep213  loss 0.1720 (pw 0.0007 harm 1.5790)  [5s, 9,199 win/s]
  ep214  loss 0.1690 (pw 0.0007 harm 1.5524)  [5s, 9,701 win/s]
  ep215  loss 0.1713 (pw 0.0008 harm 1.5717)  [5s, 9,735 win/s]
  ep216  loss 0.1734 (pw 0.0008 harm 1.5922)  [5s, 9,700 win/s]
  ep217  loss 0.1718 (pw 0.0008 harm 1.5804)  [5s, 9,773 win/s]
  ep218  loss 0.1771 (pw 0.0008 harm 1.6285)  [5s, 9,804 win/s]
  ep219  loss 0.1753 (pw 0.0008 harm 1.6083)  [5s, 9,589 win/s]
  ep220  loss 0.1712 (pw 0.0007 harm 1.5727)  |  MAE 3.082W  F1 0.9588  저항3종 0.998  잔차 24.6W  [6s 학습 / 0s 평가, 9,039 win/s]
  ep221  loss 0.1749 (pw 0.0008 harm 1.6048)  [6s, 8,797 win/s]
  ep222  loss 0.1718 (pw 0.0007 harm 1.5817)  [6s, 8,807 win/s]
  ep223  loss 0.1748 (pw 0.0008 harm 1.6020)  [6s, 8,796 win/s]
  ep224  loss 0.1702 (pw 0.0007 harm 1.5650)  [6s, 8,797 win/s]
  ep225  loss 0.1722 (pw 0.0007 harm 1.5844)  [6s, 8,791 win/s]
  ep226  loss 0.1723 (pw 0.0007 harm 1.5848)  [6s, 8,787 win/s]
  ep227  loss 0.1705 (pw 0.0007 harm 1.5689)  [6s, 8,807 win/s]
  ep228  loss 0.1730 (pw 0.0007 harm 1.5970)  [6s, 8,803 win/s]
