### [fd0.2] 1단계 Sat Aug 22 20:40:22     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep125  loss 0.1821 (pw 0.0016 harm 1.4605)  [5s, 9,225 win/s]
  ep126  loss 0.1813 (pw 0.0016 harm 1.4517)  [5s, 9,280 win/s]
  ep127  loss 0.1827 (pw 0.0016 harm 1.4560)  [5s, 9,278 win/s]
  ep128  loss 0.1827 (pw 0.0016 harm 1.4668)  [5s, 9,280 win/s]
  ep129  loss 0.1836 (pw 0.0016 harm 1.4738)  [5s, 9,287 win/s]
  ep130  loss 0.1833 (pw 0.0016 harm 1.4721)  [5s, 9,133 win/s]
  ep131  loss 0.1796 (pw 0.0015 harm 1.4446)  [5s, 9,235 win/s]
  ep132  loss 0.1823 (pw 0.0016 harm 1.4586)  [5s, 9,241 win/s]
  ep133  loss 0.1787 (pw 0.0016 harm 1.4310)  [5s, 9,253 win/s]
  ep134  loss 0.1811 (pw 0.0016 harm 1.4666)  [5s, 9,237 win/s]
  ep135  loss 0.1811 (pw 0.0016 harm 1.4483)  [5s, 9,243 win/s]
  ep136  loss 0.1799 (pw 0.0017 harm 1.4347)  [5s, 9,241 win/s]
  ep137  loss 0.1802 (pw 0.0016 harm 1.4445)  [5s, 9,243 win/s]
  ep138  loss 0.1817 (pw 0.0016 harm 1.4672)  [5s, 9,221 win/s]
  ep139  loss 0.1841 (pw 0.0016 harm 1.4961)  [5s, 9,250 win/s]
  ep140  loss 0.1808 (pw 0.0015 harm 1.4664)  [5s, 9,138 win/s]
  ep141  loss 0.1805 (pw 0.0016 harm 1.4514)  [5s, 9,250 win/s]
  ep142  loss 0.1800 (pw 0.0015 harm 1.4546)  [5s, 9,385 win/s]
  ep143  loss 0.1800 (pw 0.0016 harm 1.4458)  [5s, 9,512 win/s]
  ep144  loss 0.1784 (pw 0.0015 harm 1.4444)  [5s, 9,528 win/s]
  ep145  loss 0.1801 (pw 0.0016 harm 1.4556)  [5s, 9,520 win/s]
  ep146  loss 0.1810 (pw 0.0015 harm 1.4687)  [5s, 9,540 win/s]
  ep147  loss 0.1800 (pw 0.0015 harm 1.4612)  [5s, 9,545 win/s]
  ep148  loss 0.1795 (pw 0.0015 harm 1.4606)  [5s, 9,502 win/s]
  ep149  loss 0.1789 (pw 0.0015 harm 1.4549)  [5s, 9,532 win/s]
  ep150  loss 0.1771 (pw 0.0015 harm 1.4337)  |  MAE 3.502W  F1 0.9702  저항3종 1.000  잔차 27.3W  [5s 학습 / 0s 평가, 9,545 win/s]
  ep151  loss 0.1796 (pw 0.0016 harm 1.4488)  [5s, 9,293 win/s]
  ep152  loss 0.1789 (pw 0.0015 harm 1.4549)  [5s, 9,536 win/s]
  ep153  loss 0.1757 (pw 0.0015 harm 1.4202)  [5s, 9,421 win/s]
  ep154  loss 0.1753 (pw 0.0015 harm 1.4233)  [5s, 9,547 win/s]
  ep155  loss 0.1799 (pw 0.0015 harm 1.4630)  [5s, 9,542 win/s]
  ep156  loss 0.1784 (pw 0.0016 harm 1.4341)  [5s, 9,539 win/s]
  ep157  loss 0.1789 (pw 0.0015 harm 1.4537)  [5s, 9,533 win/s]
  ep158  loss 0.1795 (pw 0.0016 harm 1.4431)  [5s, 9,373 win/s]
  ep159  loss 0.1771 (pw 0.0015 harm 1.4344)  [5s, 9,496 win/s]
  ep160  loss 0.1828 (pw 0.0015 harm 1.4902)  [5s, 9,491 win/s]
  ep161  loss 0.1782 (pw 0.0015 harm 1.4484)  [5s, 9,393 win/s]
  ep162  loss 0.1788 (pw 0.0015 harm 1.4598)  [5s, 9,469 win/s]
  ep163  loss 0.1780 (pw 0.0015 harm 1.4435)  [5s, 9,479 win/s]
  ep164  loss 0.1790 (pw 0.0016 harm 1.4508)  [5s, 9,492 win/s]
  ep165  loss 0.1790 (pw 0.0015 harm 1.4601)  [5s, 9,464 win/s]
  ep166  loss 0.1746 (pw 0.0015 harm 1.4232)  [5s, 9,515 win/s]
  ep167  loss 0.1772 (pw 0.0015 harm 1.4397)  [5s, 9,483 win/s]
  ep168  loss 0.1785 (pw 0.0015 harm 1.4583)  [5s, 9,313 win/s]
  ep169  loss 0.1778 (pw 0.0015 harm 1.4477)  [5s, 9,146 win/s]
  ep170  loss 0.1794 (pw 0.0015 harm 1.4651)  [5s, 9,130 win/s]
  ep171  loss 0.1749 (pw 0.0015 harm 1.4223)  [5s, 9,229 win/s]
  ep172  loss 0.1767 (pw 0.0015 harm 1.4455)  [5s, 9,232 win/s]
  ep173  loss 0.1784 (pw 0.0014 harm 1.4691)  [5s, 9,236 win/s]
  ep174  loss 0.1756 (pw 0.0015 harm 1.4293)  [5s, 9,251 win/s]
  ep175  loss 0.1769 (pw 0.0015 harm 1.4476)  [5s, 9,286 win/s]
  ep176  loss 0.1796 (pw 0.0015 harm 1.4742)  [5s, 9,520 win/s]
  ep177  loss 0.1774 (pw 0.0015 harm 1.4476)  [5s, 9,501 win/s]
  ep178  loss 0.1766 (pw 0.0015 harm 1.4449)  [5s, 9,507 win/s]
  ep179  loss 0.1781 (pw 0.0015 harm 1.4575)  [5s, 9,506 win/s]
  ep180  loss 0.1780 (pw 0.0015 harm 1.4610)  [5s, 9,379 win/s]
  ep181  loss 0.1760 (pw 0.0015 harm 1.4341)  [5s, 9,484 win/s]
  ep182  loss 0.1761 (pw 0.0014 harm 1.4455)  [5s, 9,490 win/s]
  ep183  loss 0.1759 (pw 0.0015 harm 1.4358)  [5s, 9,494 win/s]
