====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ovh — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep195  loss 0.0832 (pw 0.0045 harm 0.4719)  [6s, 8,623 win/s]
  ep196  loss 0.0838 (pw 0.0044 harm 0.4757)  [6s, 8,590 win/s]
  ep197  loss 0.0839 (pw 0.0044 harm 0.4720)  [6s, 8,640 win/s]
  ep198  loss 0.0865 (pw 0.0045 harm 0.4757)  [6s, 8,578 win/s]
  ep199  loss 0.0837 (pw 0.0044 harm 0.4743)  [6s, 8,672 win/s]
  ep200  loss 0.0824 (pw 0.0045 harm 0.4709)  |  MAE 3.641W  F1 0.9302  저항3종 0.994  잔차 22.8W  [6s 학습 / 0s 평가, 8,618 win/s]
  ep201  loss 0.0836 (pw 0.0045 harm 0.4750)  [6s, 8,606 win/s]
  ep202  loss 0.0838 (pw 0.0044 harm 0.4724)  [6s, 8,619 win/s]
  ep203  loss 0.0825 (pw 0.0044 harm 0.4725)  [6s, 8,604 win/s]
  ep204  loss 0.0837 (pw 0.0045 harm 0.4709)  [6s, 8,642 win/s]
  ep205  loss 0.0828 (pw 0.0045 harm 0.4723)  [6s, 8,621 win/s]
  ep206  loss 0.0824 (pw 0.0044 harm 0.4702)  [6s, 8,714 win/s]
  ep207  loss 0.0839 (pw 0.0045 harm 0.4733)  [6s, 8,644 win/s]
  ep208  loss 0.0832 (pw 0.0045 harm 0.4724)  [6s, 8,685 win/s]
  ep209  loss 0.0823 (pw 0.0044 harm 0.4731)  [6s, 8,671 win/s]
  ep210  loss 0.0819 (pw 0.0044 harm 0.4713)  |  MAE 3.568W  F1 0.9294  저항3종 0.995  잔차 22.8W  [6s 학습 / 0s 평가, 8,685 win/s]
  ep211  loss 0.0821 (pw 0.0045 harm 0.4717)  [6s, 8,654 win/s]
  ep212  loss 0.0816 (pw 0.0045 harm 0.4717)  [6s, 8,603 win/s]
  ep213  loss 0.0821 (pw 0.0044 harm 0.4715)  [6s, 8,667 win/s]
  ep214  loss 0.0816 (pw 0.0044 harm 0.4743)  [6s, 8,555 win/s]
  ep215  loss 0.0816 (pw 0.0045 harm 0.4697)  [6s, 8,648 win/s]
  ep216  loss 0.0822 (pw 0.0044 harm 0.4697)  [6s, 8,585 win/s]
  ep217  loss 0.0808 (pw 0.0044 harm 0.4713)  [6s, 8,622 win/s]
  ep218  loss 0.0822 (pw 0.0044 harm 0.4726)  [6s, 8,609 win/s]
  ep219  loss 0.0824 (pw 0.0044 harm 0.4705)  [6s, 8,606 win/s]
  ep220  loss 0.0817 (pw 0.0045 harm 0.4698)  |  MAE 3.666W  F1 0.9293  저항3종 0.995  잔차 23.0W  [6s 학습 / 0s 평가, 8,623 win/s]
  ep221  loss 0.0822 (pw 0.0044 harm 0.4716)  [6s, 8,572 win/s]
  ep222  loss 0.0805 (pw 0.0045 harm 0.4696)  [6s, 8,648 win/s]
  ep223  loss 0.0828 (pw 0.0045 harm 0.4714)  [6s, 8,566 win/s]
  ep224  loss 0.0816 (pw 0.0044 harm 0.4729)  [6s, 8,655 win/s]
  ep225  loss 0.0810 (pw 0.0044 harm 0.4737)  [6s, 8,583 win/s]
  ep226  loss 0.0812 (pw 0.0045 harm 0.4706)  [6s, 8,594 win/s]
  ep227  loss 0.0809 (pw 0.0044 harm 0.4717)  [6s, 8,603 win/s]
  ep228  loss 0.0808 (pw 0.0044 harm 0.4694)  [6s, 8,572 win/s]
  ep229  loss 0.0823 (pw 0.0044 harm 0.4713)  [6s, 8,600 win/s]
  ep230  loss 0.0826 (pw 0.0044 harm 0.4717)  |  MAE 3.541W  F1 0.9303  저항3종 0.995  잔차 22.6W  [6s 학습 / 0s 평가, 8,567 win/s]
  ep231  loss 0.0805 (pw 0.0044 harm 0.4705)  [6s, 8,698 win/s]
  ep232  loss 0.0806 (pw 0.0044 harm 0.4694)  [6s, 8,615 win/s]
  ep233  loss 0.0816 (pw 0.0044 harm 0.4712)  [6s, 8,678 win/s]
  ep234  loss 0.0815 (pw 0.0045 harm 0.4706)  [6s, 8,629 win/s]
  ep235  loss 0.0797 (pw 0.0044 harm 0.4712)  [6s, 8,633 win/s]
  ep236  loss 0.0810 (pw 0.0044 harm 0.4729)  [6s, 8,649 win/s]
  ep237  loss 0.0792 (pw 0.0044 harm 0.4687)  [6s, 8,638 win/s]
  ep238  loss 0.0821 (pw 0.0044 harm 0.4699)  [6s, 8,639 win/s]
  ep239  loss 0.0795 (pw 0.0044 harm 0.4678)  [6s, 8,578 win/s]
  ep240  loss 0.0816 (pw 0.0044 harm 0.4713)  |  MAE 3.562W  F1 0.9300  저항3종 0.994  잔차 22.3W  [6s 학습 / 0s 평가, 8,632 win/s]
  ep241  loss 0.0811 (pw 0.0044 harm 0.4701)  [6s, 8,562 win/s]
  ep242  loss 0.0802 (pw 0.0044 harm 0.4710)  [6s, 8,623 win/s]
  ep243  loss 0.0801 (pw 0.0044 harm 0.4735)  [6s, 8,641 win/s]
  ep244  loss 0.0802 (pw 0.0044 harm 0.4694)  [6s, 8,616 win/s]
  ep245  loss 0.0796 (pw 0.0044 harm 0.4710)  [6s, 8,598 win/s]
  ep246  loss 0.0807 (pw 0.0045 harm 0.4711)  [6s, 8,596 win/s]
  ep247  loss 0.0796 (pw 0.0044 harm 0.4689)  [6s, 8,628 win/s]
  ep248  loss 0.0811 (pw 0.0045 harm 0.4724)  [6s, 8,556 win/s]
  ep249  loss 0.0807 (pw 0.0044 harm 0.4712)  [6s, 8,659 win/s]
  ep250  loss 0.0796 (pw 0.0045 harm 0.4692)  |  MAE 3.654W  F1 0.9297  저항3종 0.992  잔차 22.8W  [6s 학습 / 0s 평가, 8,568 win/s]
  ep251  loss 0.0806 (pw 0.0045 harm 0.4694)  [6s, 8,599 win/s]
  ep252  loss 0.0796 (pw 0.0045 harm 0.4695)  [6s, 8,581 win/s]
