### 시드 스윕 시작 Sat Aug 22 23:27:26     2026  — 짝지은 설계: 같은 시드로 base(fd0) 와 fd0.2 를 함께
### [sw_base_s1] 1단계 Sat Aug 22 23:27:26     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep138  loss 0.1619 (pw 0.0009 harm 1.4237)  [5s, 9,103 win/s]
  ep139  loss 0.1602 (pw 0.0008 harm 1.4164)  [5s, 9,144 win/s]
  ep140  loss 0.1609 (pw 0.0008 harm 1.4242)  [5s, 9,131 win/s]
  ep141  loss 0.1606 (pw 0.0008 harm 1.4154)  [5s, 9,121 win/s]
  ep142  loss 0.1585 (pw 0.0008 harm 1.4001)  [6s, 9,025 win/s]
  ep143  loss 0.1611 (pw 0.0009 harm 1.4152)  [6s, 9,070 win/s]
  ep144  loss 0.1639 (pw 0.0009 harm 1.4362)  [6s, 9,090 win/s]
  ep145  loss 0.1626 (pw 0.0008 harm 1.4398)  [6s, 9,090 win/s]
  ep146  loss 0.1604 (pw 0.0008 harm 1.4241)  [6s, 8,676 win/s]
  ep147  loss 0.1611 (pw 0.0009 harm 1.4260)  [6s, 8,703 win/s]
  ep148  loss 0.1622 (pw 0.0008 harm 1.4367)  [6s, 8,741 win/s]
  ep149  loss 0.1605 (pw 0.0008 harm 1.4152)  [6s, 8,676 win/s]
  ep150  loss 0.1625 (pw 0.0008 harm 1.4414)  [6s, 8,692 win/s]
  ep151  loss 0.1633 (pw 0.0009 harm 1.4417)  [6s, 8,877 win/s]
  ep152  loss 0.1630 (pw 0.0008 harm 1.4458)  [6s, 8,785 win/s]
  ep153  loss 0.1622 (pw 0.0008 harm 1.4379)  [6s, 9,056 win/s]
  ep154  loss 0.1587 (pw 0.0008 harm 1.4102)  [6s, 9,085 win/s]
  ep155  loss 0.1634 (pw 0.0008 harm 1.4466)  [5s, 9,170 win/s]
  ep156  loss 0.1609 (pw 0.0008 harm 1.4373)  [6s, 8,966 win/s]
  ep157  loss 0.1598 (pw 0.0008 harm 1.4201)  [6s, 8,784 win/s]
  ep158  loss 0.1597 (pw 0.0008 harm 1.4284)  [6s, 8,950 win/s]
  ep159  loss 0.1606 (pw 0.0008 harm 1.4283)  [6s, 8,763 win/s]
  ep160  loss 0.1592 (pw 0.0008 harm 1.4195)  [6s, 9,036 win/s]
  ep161  loss 0.1595 (pw 0.0008 harm 1.4128)  [6s, 9,042 win/s]
  ep162  loss 0.1608 (pw 0.0008 harm 1.4376)  [6s, 9,075 win/s]
  ep163  loss 0.1584 (pw 0.0008 harm 1.4143)  [6s, 9,048 win/s]
  ep164  loss 0.1590 (pw 0.0008 harm 1.4240)  [5s, 9,175 win/s]
