====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw2 — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep158  loss 0.0914 (pw 0.0046 harm 0.4773)  [5s, 9,487 win/s]
  ep159  loss 0.0877 (pw 0.0045 harm 0.4763)  [5s, 9,498 win/s]
  ep160  loss 0.0868 (pw 0.0045 harm 0.4771)  |  MAE 4.587W  F1 0.9230  저항3종 0.984  잔차 26.8W  [5s 학습 / 0s 평가, 9,360 win/s]
  ep161  loss 0.0877 (pw 0.0045 harm 0.4776)  [5s, 9,460 win/s]
  ep162  loss 0.0872 (pw 0.0044 harm 0.4752)  [5s, 9,467 win/s]
  ep163  loss 0.0884 (pw 0.0044 harm 0.4749)  [5s, 9,538 win/s]
  ep164  loss 0.0889 (pw 0.0045 harm 0.4787)  [5s, 9,288 win/s]
  ep165  loss 0.0871 (pw 0.0045 harm 0.4750)  [5s, 9,516 win/s]
  ep166  loss 0.0859 (pw 0.0045 harm 0.4758)  [5s, 9,494 win/s]
  ep167  loss 0.0893 (pw 0.0045 harm 0.4768)  [5s, 9,518 win/s]
  ep168  loss 0.0862 (pw 0.0045 harm 0.4761)  [5s, 9,352 win/s]
  ep169  loss 0.0874 (pw 0.0045 harm 0.4768)  [5s, 9,500 win/s]
  ep170  loss 0.0878 (pw 0.0045 harm 0.4767)  |  MAE 4.236W  F1 0.9273  저항3종 0.988  잔차 24.8W  [5s 학습 / 0s 평가, 9,472 win/s]
  ep171  loss 0.0874 (pw 0.0045 harm 0.4787)  [5s, 9,410 win/s]
  ep172  loss 0.0861 (pw 0.0044 harm 0.4737)  [5s, 9,408 win/s]
  ep173  loss 0.0841 (pw 0.0045 harm 0.4743)  [5s, 9,420 win/s]
  ep174  loss 0.0869 (pw 0.0044 harm 0.4772)  [5s, 9,472 win/s]
  ep175  loss 0.0857 (pw 0.0044 harm 0.4745)  [5s, 9,371 win/s]
  ep176  loss 0.0852 (pw 0.0045 harm 0.4753)  [5s, 9,406 win/s]
  ep177  loss 0.0867 (pw 0.0044 harm 0.4755)  [5s, 9,403 win/s]
  ep178  loss 0.0855 (pw 0.0044 harm 0.4762)  [5s, 9,551 win/s]
  ep179  loss 0.0857 (pw 0.0045 harm 0.4754)  [5s, 9,309 win/s]
  ep180  loss 0.0848 (pw 0.0045 harm 0.4742)  |  MAE 4.059W  F1 0.9266  저항3종 0.988  잔차 24.8W  [5s 학습 / 0s 평가, 9,487 win/s]
  ep181  loss 0.0861 (pw 0.0045 harm 0.4731)  [5s, 9,412 win/s]
  ep182  loss 0.0861 (pw 0.0044 harm 0.4756)  [5s, 9,511 win/s]
  ep183  loss 0.0864 (pw 0.0045 harm 0.4744)  [5s, 9,389 win/s]
  ep184  loss 0.0861 (pw 0.0046 harm 0.4730)  [5s, 9,492 win/s]
  ep185  loss 0.0843 (pw 0.0045 harm 0.4734)  [5s, 9,486 win/s]
  ep186  loss 0.0845 (pw 0.0045 harm 0.4737)  [5s, 9,434 win/s]
