====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ov — 독립 창 300,000개 (18.2GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep117  loss 0.1580 (pw 0.0009 harm 1.3597)  [6s, 8,976 win/s]
  ep118  loss 0.1563 (pw 0.0009 harm 1.3547)  [6s, 8,798 win/s]
  ep119  loss 0.1560 (pw 0.0008 harm 1.3583)  [6s, 8,941 win/s]
  ep120  loss 0.1590 (pw 0.0009 harm 1.3901)  |  MAE 3.105W  F1 0.9752  저항3종 0.999  잔차 25.1W  [6s 학습 / 0s 평가, 8,888 win/s]
  ep121  loss 0.1592 (pw 0.0009 harm 1.3779)  [6s, 8,917 win/s]
  ep122  loss 0.1579 (pw 0.0009 harm 1.3643)  [6s, 8,749 win/s]
  ep123  loss 0.1579 (pw 0.0009 harm 1.3748)  [6s, 8,621 win/s]
  ep124  loss 0.1570 (pw 0.0009 harm 1.3572)  [6s, 8,773 win/s]
  ep125  loss 0.1588 (pw 0.0009 harm 1.3857)  [6s, 8,800 win/s]
  ep126  loss 0.1595 (pw 0.0009 harm 1.3910)  [6s, 8,581 win/s]
  ep127  loss 0.1595 (pw 0.0008 harm 1.3972)  [6s, 8,377 win/s]
  ep128  loss 0.1571 (pw 0.0009 harm 1.3666)  [6s, 8,258 win/s]
  ep129  loss 0.1565 (pw 0.0008 harm 1.3664)  [6s, 8,521 win/s]
  ep130  loss 0.1597 (pw 0.0009 harm 1.3925)  |  MAE 3.183W  F1 0.9779  저항3종 1.000  잔차 25.7W  [6s 학습 / 0s 평가, 8,713 win/s]
  ep131  loss 0.1559 (pw 0.0008 harm 1.3646)  [6s, 8,690 win/s]
  ep132  loss 0.1567 (pw 0.0008 harm 1.3722)  [6s, 8,687 win/s]
  ep133  loss 0.1529 (pw 0.0008 harm 1.3364)  [6s, 8,697 win/s]
  ep134  loss 0.1586 (pw 0.0008 harm 1.3908)  [6s, 8,712 win/s]
