====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsx — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep206  loss 0.0702 (pw 0.0043 harm 0.4413)  [6s, 8,220 win/s]
  ep207  loss 0.0720 (pw 0.0044 harm 0.4437)  [6s, 8,120 win/s]
  ep208  loss 0.0713 (pw 0.0043 harm 0.4447)  [6s, 8,005 win/s]
  ep209  loss 0.0702 (pw 0.0044 harm 0.4416)  [6s, 8,356 win/s]
  ep210  loss 0.0699 (pw 0.0043 harm 0.4424)  |  MAE 3.595W  F1 0.9669  저항3종 0.994  잔차 22.5W  [6s 학습 / 0s 평가, 7,913 win/s]
  ep211  loss 0.0699 (pw 0.0044 harm 0.4432)  [6s, 8,170 win/s]
  ep212  loss 0.0698 (pw 0.0043 harm 0.4444)  [6s, 8,135 win/s]
  ep213  loss 0.0695 (pw 0.0043 harm 0.4405)  [6s, 7,908 win/s]
  ep214  loss 0.0690 (pw 0.0044 harm 0.4410)  [6s, 8,324 win/s]
  ep215  loss 0.0701 (pw 0.0044 harm 0.4429)  [6s, 7,801 win/s]
  ep216  loss 0.0698 (pw 0.0043 harm 0.4392)  [6s, 8,164 win/s]
  ep217  loss 0.0694 (pw 0.0044 harm 0.4450)  [6s, 8,011 win/s]
  ep218  loss 0.0702 (pw 0.0043 harm 0.4419)  [6s, 7,978 win/s]
  ep219  loss 0.0703 (pw 0.0043 harm 0.4410)  [6s, 8,261 win/s]
  ep220  loss 0.0695 (pw 0.0044 harm 0.4402)  |  MAE 3.615W  F1 0.9680  저항3종 0.993  잔차 22.6W  [6s 학습 / 0s 평가, 7,815 win/s]
  ep221  loss 0.0703 (pw 0.0044 harm 0.4412)  [6s, 8,264 win/s]
  ep222  loss 0.0691 (pw 0.0043 harm 0.4418)  [6s, 8,053 win/s]
  ep223  loss 0.0709 (pw 0.0044 harm 0.4432)  [6s, 7,971 win/s]
  ep224  loss 0.0691 (pw 0.0044 harm 0.4405)  [6s, 8,278 win/s]
  ep225  loss 0.0690 (pw 0.0043 harm 0.4413)  [6s, 7,930 win/s]
  ep226  loss 0.0696 (pw 0.0043 harm 0.4422)  [6s, 8,306 win/s]
  ep227  loss 0.0689 (pw 0.0043 harm 0.4393)  [6s, 8,050 win/s]
  ep228  loss 0.0687 (pw 0.0042 harm 0.4397)  [6s, 7,997 win/s]
  ep229  loss 0.0703 (pw 0.0044 harm 0.4428)  [6s, 8,240 win/s]
  ep230  loss 0.0703 (pw 0.0043 harm 0.4390)  |  MAE 3.871W  F1 0.9669  저항3종 0.991  잔차 23.2W  [6s 학습 / 0s 평가, 7,842 win/s]
  ep231  loss 0.0685 (pw 0.0043 harm 0.4412)  [6s, 8,297 win/s]
  ep232  loss 0.0684 (pw 0.0043 harm 0.4391)  [6s, 8,122 win/s]
  ep233  loss 0.0698 (pw 0.0043 harm 0.4420)  [6s, 8,037 win/s]
  ep234  loss 0.0698 (pw 0.0044 harm 0.4406)  [6s, 8,274 win/s]
  ep235  loss 0.0680 (pw 0.0043 harm 0.4420)  [6s, 7,907 win/s]
  ep236  loss 0.0688 (pw 0.0043 harm 0.4410)  [6s, 8,363 win/s]
  ep237  loss 0.0675 (pw 0.0042 harm 0.4419)  [6s, 7,977 win/s]
  ep238  loss 0.0699 (pw 0.0044 harm 0.4394)  [6s, 8,028 win/s]
  ep239  loss 0.0683 (pw 0.0043 harm 0.4444)  [6s, 8,032 win/s]
  ep240  loss 0.0692 (pw 0.0043 harm 0.4388)  |  MAE 3.706W  F1 0.9674  저항3종 0.991  잔차 22.5W  [6s 학습 / 0s 평가, 8,069 win/s]
  ep241  loss 0.0692 (pw 0.0043 harm 0.4397)  [6s, 8,357 win/s]
  ep242  loss 0.0682 (pw 0.0043 harm 0.4402)  [6s, 8,066 win/s]
  ep243  loss 0.0683 (pw 0.0044 harm 0.4427)  [6s, 8,154 win/s]
  ep244  loss 0.0680 (pw 0.0043 harm 0.4391)  [6s, 8,146 win/s]
  ep245  loss 0.0678 (pw 0.0043 harm 0.4415)  [6s, 7,805 win/s]
  ep246  loss 0.0689 (pw 0.0043 harm 0.4410)  [6s, 8,253 win/s]
  ep247  loss 0.0678 (pw 0.0043 harm 0.4419)  [6s, 7,856 win/s]
  ep248  loss 0.0693 (pw 0.0044 harm 0.4430)  [6s, 8,080 win/s]
  ep249  loss 0.0683 (pw 0.0043 harm 0.4385)  [6s, 8,147 win/s]
  ep250  loss 0.0685 (pw 0.0044 harm 0.4420)  |  MAE 3.659W  F1 0.9676  저항3종 0.992  잔차 22.5W  [6s 학습 / 0s 평가, 7,924 win/s]
  ep251  loss 0.0689 (pw 0.0043 harm 0.4427)  [6s, 8,351 win/s]
  ep252  loss 0.0680 (pw 0.0043 harm 0.4421)  [6s, 7,979 win/s]
  ep253  loss 0.0673 (pw 0.0043 harm 0.4400)  [6s, 8,062 win/s]
  ep254  loss 0.0684 (pw 0.0043 harm 0.4414)  [6s, 8,083 win/s]
  ep255  loss 0.0683 (pw 0.0043 harm 0.4404)  [7s, 7,649 win/s]
  ep256  loss 0.0672 (pw 0.0043 harm 0.4394)  [6s, 8,370 win/s]
