====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsf — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep135  loss 0.0852 (pw 0.0047 harm 0.4718)  [5s, 9,515 win/s]
  ep136  loss 0.0845 (pw 0.0047 harm 0.4712)  [5s, 9,538 win/s]
  ep137  loss 0.0841 (pw 0.0046 harm 0.4735)  [5s, 9,413 win/s]
  ep138  loss 0.0840 (pw 0.0046 harm 0.4709)  [5s, 9,546 win/s]
  ep139  loss 0.0817 (pw 0.0046 harm 0.4724)  [5s, 9,498 win/s]
  ep140  loss 0.0801 (pw 0.0046 harm 0.4707)  |  MAE 3.395W  F1 0.9645  저항3종 0.996  잔차 23.8W  [5s 학습 / 0s 평가, 9,499 win/s]
  ep141  loss 0.0840 (pw 0.0047 harm 0.4728)  [5s, 9,413 win/s]
  ep142  loss 0.0823 (pw 0.0046 harm 0.4712)  [5s, 9,483 win/s]
  ep143  loss 0.0830 (pw 0.0046 harm 0.4704)  [5s, 9,437 win/s]
  ep144  loss 0.0799 (pw 0.0046 harm 0.4706)  [5s, 9,502 win/s]
  ep145  loss 0.0817 (pw 0.0046 harm 0.4707)  [5s, 9,475 win/s]
  ep146  loss 0.0824 (pw 0.0046 harm 0.4727)  [5s, 9,510 win/s]
  ep147  loss 0.0815 (pw 0.0046 harm 0.4698)  [5s, 9,509 win/s]
  ep148  loss 0.0797 (pw 0.0046 harm 0.4693)  [5s, 9,404 win/s]
  ep149  loss 0.0798 (pw 0.0046 harm 0.4706)  [5s, 9,471 win/s]
  ep150  loss 0.0805 (pw 0.0046 harm 0.4710)  |  MAE 3.425W  F1 0.9670  저항3종 0.994  잔차 23.4W  [5s 학습 / 0s 평가, 9,521 win/s]
  ep151  loss 0.0826 (pw 0.0047 harm 0.4703)  [5s, 9,530 win/s]
  ep152  loss 0.0809 (pw 0.0046 harm 0.4677)  [5s, 9,402 win/s]
  ep153  loss 0.0799 (pw 0.0046 harm 0.4697)  [5s, 9,502 win/s]
  ep154  loss 0.0786 (pw 0.0045 harm 0.4690)  [5s, 9,501 win/s]
  ep155  loss 0.0793 (pw 0.0046 harm 0.4733)  [5s, 9,450 win/s]
  ep156  loss 0.0840 (pw 0.0048 harm 0.4710)  [5s, 9,397 win/s]
  ep157  loss 0.0804 (pw 0.0046 harm 0.4690)  [5s, 9,512 win/s]
  ep158  loss 0.0844 (pw 0.0048 harm 0.4698)  [5s, 9,419 win/s]
  ep159  loss 0.0809 (pw 0.0046 harm 0.4712)  [5s, 9,444 win/s]
  ep160  loss 0.0790 (pw 0.0046 harm 0.4680)  |  MAE 3.379W  F1 0.9669  저항3종 0.995  잔차 23.1W  [5s 학습 / 0s 평가, 9,501 win/s]
  ep161  loss 0.0809 (pw 0.0046 harm 0.4722)  [5s, 9,565 win/s]
  ep162  loss 0.0797 (pw 0.0046 harm 0.4679)  [5s, 9,541 win/s]
  ep163  loss 0.0812 (pw 0.0047 harm 0.4677)  [5s, 9,495 win/s]
  ep164  loss 0.0813 (pw 0.0047 harm 0.4687)  [5s, 9,424 win/s]
  ep165  loss 0.0800 (pw 0.0046 harm 0.4687)  [5s, 9,580 win/s]
  ep166  loss 0.0784 (pw 0.0046 harm 0.4676)  [5s, 9,487 win/s]
  ep167  loss 0.0815 (pw 0.0047 harm 0.4676)  [5s, 9,418 win/s]
  ep168  loss 0.0788 (pw 0.0046 harm 0.4672)  [5s, 9,488 win/s]
  ep169  loss 0.0801 (pw 0.0046 harm 0.4702)  [5s, 9,557 win/s]
  ep170  loss 0.0808 (pw 0.0047 harm 0.4707)  |  MAE 3.430W  F1 0.9672  저항3종 0.995  잔차 23.3W  [5s 학습 / 0s 평가, 9,464 win/s]
  ep171  loss 0.0803 (pw 0.0047 harm 0.4676)  [5s, 9,511 win/s]
  ep172  loss 0.0789 (pw 0.0046 harm 0.4684)  [5s, 9,424 win/s]
  ep173  loss 0.0767 (pw 0.0046 harm 0.4667)  [5s, 9,539 win/s]
  ep174  loss 0.0799 (pw 0.0047 harm 0.4693)  [5s, 9,413 win/s]
  ep175  loss 0.0781 (pw 0.0046 harm 0.4661)  [5s, 9,431 win/s]
  ep176  loss 0.0781 (pw 0.0046 harm 0.4678)  [5s, 9,497 win/s]
  ep177  loss 0.0795 (pw 0.0047 harm 0.4685)  [5s, 9,434 win/s]
