====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 92db1dfee4dabbdd | 타깃 3059/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_la9 — 독립 창 300,000개 (23.4GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep103  loss 0.1582 (pw 0.0008 harm 1.3791)  [7s, 7,208 win/s]
  ep104  loss 0.1563 (pw 0.0009 harm 1.3551)  [7s, 7,212 win/s]
  ep105  loss 0.1594 (pw 0.0009 harm 1.3763)  [7s, 7,191 win/s]
  ep106  loss 0.1630 (pw 0.0009 harm 1.4031)  [7s, 7,219 win/s]
  ep107  loss 0.1595 (pw 0.0009 harm 1.3861)  [7s, 7,218 win/s]
  ep108  loss 0.1562 (pw 0.0009 harm 1.3552)  [7s, 7,183 win/s]
  ep109  loss 0.1559 (pw 0.0008 harm 1.3591)  [7s, 7,210 win/s]
  ep110  loss 0.1611 (pw 0.0009 harm 1.4019)  |  MAE 3.117W  F1 0.9756  저항3종 1.000  잔차 26.2W  [7s 학습 / 0s 평가, 7,201 win/s]
  ep111  loss 0.1591 (pw 0.0009 harm 1.3766)  [7s, 7,199 win/s]
  ep112  loss 0.1596 (pw 0.0009 harm 1.3809)  [7s, 7,209 win/s]
  ep113  loss 0.1611 (pw 0.0009 harm 1.3947)  [7s, 7,185 win/s]
  ep114  loss 0.1576 (pw 0.0009 harm 1.3671)  [7s, 7,200 win/s]
  ep115  loss 0.1609 (pw 0.0009 harm 1.3973)  [7s, 7,211 win/s]
  ep116  loss 0.1618 (pw 0.0009 harm 1.4104)  [7s, 7,188 win/s]
  ep117  loss 0.1592 (pw 0.0009 harm 1.3828)  [7s, 7,205 win/s]
  ep118  loss 0.1596 (pw 0.0009 harm 1.3926)  [7s, 7,220 win/s]
  ep119  loss 0.1587 (pw 0.0008 harm 1.3915)  [7s, 7,192 win/s]
  ep120  loss 0.1589 (pw 0.0009 harm 1.3901)  |  MAE 3.115W  F1 0.9736  저항3종 1.000  잔차 25.5W  [7s 학습 / 0s 평가, 7,207 win/s]
  ep121  loss 0.1595 (pw 0.0009 harm 1.4013)  [7s, 7,172 win/s]
  ep122  loss 0.1565 (pw 0.0009 harm 1.3541)  [7s, 7,202 win/s]
  ep123  loss 0.1600 (pw 0.0009 harm 1.3996)  [7s, 7,196 win/s]
  ep124  loss 0.1611 (pw 0.0008 harm 1.4156)  [7s, 7,190 win/s]
  ep125  loss 0.1578 (pw 0.0008 harm 1.3879)  [7s, 7,198 win/s]
  ep126  loss 0.1587 (pw 0.0008 harm 1.3981)  [7s, 7,223 win/s]
  ep127  loss 0.1560 (pw 0.0008 harm 1.3652)  [7s, 7,214 win/s]
  ep128  loss 0.1561 (pw 0.0008 harm 1.3769)  [7s, 7,217 win/s]
  ep129  loss 0.1543 (pw 0.0008 harm 1.3609)  [7s, 7,211 win/s]
  ep130  loss 0.1567 (pw 0.0008 harm 1.3810)  |  MAE 2.957W  F1 0.9783  저항3종 1.000  잔차 25.1W  [7s 학습 / 0s 평가, 7,212 win/s]
  ep131  loss 0.1567 (pw 0.0008 harm 1.3804)  [7s, 7,213 win/s]
  ep132  loss 0.1556 (pw 0.0008 harm 1.3764)  [7s, 7,215 win/s]
  ep133  loss 0.1562 (pw 0.0008 harm 1.3782)  [7s, 7,212 win/s]
  ep134  loss 0.1551 (pw 0.0008 harm 1.3775)  [7s, 7,218 win/s]
  ep135  loss 0.1575 (pw 0.0009 harm 1.3720)  [7s, 7,227 win/s]
  ep136  loss 0.1550 (pw 0.0008 harm 1.3587)  [7s, 7,222 win/s]
  ep137  loss 0.1565 (pw 0.0008 harm 1.3760)  [7s, 7,231 win/s]
  ep138  loss 0.1573 (pw 0.0008 harm 1.3858)  [7s, 7,221 win/s]
  ep139  loss 0.1547 (pw 0.0008 harm 1.3717)  [7s, 7,225 win/s]
  ep140  loss 0.1562 (pw 0.0008 harm 1.3966)  |  MAE 2.890W  F1 0.9791  저항3종 1.000  잔차 24.2W  [7s 학습 / 0s 평가, 7,181 win/s]
  ep141  loss 0.1589 (pw 0.0008 harm 1.4018)  [7s, 7,191 win/s]
  ep142  loss 0.1585 (pw 0.0008 harm 1.4085)  [7s, 7,202 win/s]
  ep143  loss 0.1567 (pw 0.0008 harm 1.3853)  [7s, 7,189 win/s]
  ep144  loss 0.1559 (pw 0.0008 harm 1.3923)  [7s, 7,216 win/s]
  ep145  loss 0.1551 (pw 0.0008 harm 1.3812)  [7s, 7,211 win/s]
  ep146  loss 0.1566 (pw 0.0008 harm 1.3886)  [7s, 7,197 win/s]
  ep147  loss 0.1597 (pw 0.0008 harm 1.4195)  [7s, 7,222 win/s]
  ep148  loss 0.1561 (pw 0.0008 harm 1.3939)  [7s, 7,225 win/s]
  ep149  loss 0.1542 (pw 0.0008 harm 1.3777)  [7s, 7,202 win/s]
  ep150  loss 0.1555 (pw 0.0008 harm 1.3900)  |  MAE 3.038W  F1 0.9769  저항3종 1.000  잔차 25.7W  [7s 학습 / 0s 평가, 7,228 win/s]
  ep151  loss 0.1581 (pw 0.0008 harm 1.3973)  [7s, 7,158 win/s]
  ep152  loss 0.1573 (pw 0.0008 harm 1.3980)  [7s, 7,182 win/s]
  ep153  loss 0.1548 (pw 0.0008 harm 1.3843)  [7s, 7,195 win/s]
  ep154  loss 0.1521 (pw 0.0008 harm 1.3665)  [7s, 7,151 win/s]
  ep155  loss 0.1525 (pw 0.0008 harm 1.3599)  [7s, 7,215 win/s]
  ep156  loss 0.1549 (pw 0.0009 harm 1.3624)  [7s, 7,223 win/s]
  ep157  loss 0.1572 (pw 0.0008 harm 1.4018)  [7s, 7,210 win/s]
  ep158  loss 0.1544 (pw 0.0009 harm 1.3554)  [7s, 7,212 win/s]
  ep159  loss 0.1542 (pw 0.0008 harm 1.3720)  [7s, 7,201 win/s]
  ep160  loss 0.1551 (pw 0.0008 harm 1.3914)  |  MAE 3.034W  F1 0.9783  저항3종 1.000  잔차 25.7W  [7s 학습 / 0s 평가, 7,210 win/s]
  ep161  loss 0.1542 (pw 0.0008 harm 1.3741)  [7s, 7,209 win/s]
  ep162  loss 0.1559 (pw 0.0008 harm 1.3972)  [7s, 7,209 win/s]
  ep163  loss 0.1560 (pw 0.0008 harm 1.3867)  [7s, 7,217 win/s]
  ep164  loss 0.1570 (pw 0.0008 harm 1.4014)  [7s, 7,206 win/s]
  ep165  loss 0.1545 (pw 0.0008 harm 1.3807)  [7s, 7,209 win/s]
  ep166  loss 0.1533 (pw 0.0008 harm 1.3751)  [7s, 7,227 win/s]
  ep167  loss 0.1546 (pw 0.0008 harm 1.3751)  [7s, 7,224 win/s]
  ep168  loss 0.1554 (pw 0.0008 harm 1.3978)  [7s, 7,209 win/s]
  ep169  loss 0.1547 (pw 0.0008 harm 1.3851)  [7s, 7,233 win/s]
  ep170  loss 0.1519 (pw 0.0008 harm 1.3536)  |  MAE 3.036W  F1 0.9758  저항3종 1.000  잔차 25.5W  [7s 학습 / 0s 평가, 7,214 win/s]
  ep171  loss 0.1533 (pw 0.0008 harm 1.3685)  [7s, 7,221 win/s]
  ep172  loss 0.1572 (pw 0.0008 harm 1.4135)  [7s, 7,225 win/s]
  ep173  loss 0.1526 (pw 0.0007 harm 1.3789)  [7s, 7,180 win/s]
  ep174  loss 0.1515 (pw 0.0008 harm 1.3542)  [7s, 7,197 win/s]
  ep175  loss 0.1546 (pw 0.0008 harm 1.3923)  [7s, 7,162 win/s]
  ep176  loss 0.1517 (pw 0.0008 harm 1.3654)  [7s, 7,179 win/s]
  ep177  loss 0.1535 (pw 0.0008 harm 1.3758)  [7s, 7,179 win/s]
  ep178  loss 0.1524 (pw 0.0008 harm 1.3724)  [7s, 7,161 win/s]
  ep179  loss 0.1542 (pw 0.0008 harm 1.3881)  [7s, 7,159 win/s]
  ep180  loss 0.1536 (pw 0.0007 harm 1.3848)  |  MAE 3.038W  F1 0.9751  저항3종 1.000  잔차 25.5W  [7s 학습 / 1s 평가, 7,169 win/s]
  ep181  loss 0.1508 (pw 0.0008 harm 1.3508)  [7s, 7,176 win/s]
  ep182  loss 0.1544 (pw 0.0008 harm 1.3900)  [7s, 7,188 win/s]
  ep183  loss 0.1517 (pw 0.0008 harm 1.3570)  [7s, 7,197 win/s]
  ep184  loss 0.1531 (pw 0.0008 harm 1.3741)  [7s, 7,169 win/s]
  ep185  loss 0.1504 (pw 0.0007 harm 1.3595)  [7s, 7,172 win/s]
  ep186  loss 0.1515 (pw 0.0007 harm 1.3693)  [7s, 7,166 win/s]
  ep187  loss 0.1562 (pw 0.0007 harm 1.4099)  [7s, 7,157 win/s]
  ep188  loss 0.1522 (pw 0.0007 harm 1.3813)  [7s, 7,180 win/s]
  ep189  loss 0.1538 (pw 0.0008 harm 1.3833)  [7s, 7,181 win/s]
  ep190  loss 0.1532 (pw 0.0007 harm 1.3913)  |  MAE 2.971W  F1 0.9772  저항3종 1.000  잔차 25.3W  [7s 학습 / 0s 평가, 7,169 win/s]
  ep191  loss 0.1507 (pw 0.0007 harm 1.3639)  [7s, 7,196 win/s]
  ep192  loss 0.1501 (pw 0.0008 harm 1.3499)  [7s, 7,196 win/s]
  ep193  loss 0.1511 (pw 0.0008 harm 1.3551)  [7s, 7,194 win/s]
  ep194  loss 0.1514 (pw 0.0008 harm 1.3638)  [7s, 7,182 win/s]
  ep195  loss 0.1546 (pw 0.0007 harm 1.4048)  [7s, 7,191 win/s]
  ep196  loss 0.1521 (pw 0.0007 harm 1.3822)  [7s, 7,196 win/s]
  ep197  loss 0.1520 (pw 0.0007 harm 1.3765)  [7s, 7,203 win/s]
  ep198  loss 0.1545 (pw 0.0008 harm 1.3879)  [7s, 7,190 win/s]
  ep199  loss 0.1550 (pw 0.0007 harm 1.4076)  [7s, 7,212 win/s]
  ep200  loss 0.1500 (pw 0.0007 harm 1.3617)  |  MAE 3.035W  F1 0.9746  저항3종 1.000  잔차 25.7W  [7s 학습 / 0s 평가, 7,210 win/s]
  ep201  loss 0.1501 (pw 0.0007 harm 1.3610)  [7s, 7,167 win/s]
  ep202  loss 0.1539 (pw 0.0007 harm 1.3939)  [7s, 7,186 win/s]
  ep203  loss 0.1526 (pw 0.0007 harm 1.3886)  [7s, 7,184 win/s]
  ep204  loss 0.1497 (pw 0.0007 harm 1.3535)  [7s, 7,177 win/s]
  ep205  loss 0.1513 (pw 0.0007 harm 1.3744)  [7s, 7,210 win/s]
  ep206  loss 0.1529 (pw 0.0007 harm 1.3915)  [7s, 7,206 win/s]
  ep207  loss 0.1526 (pw 0.0007 harm 1.3817)  [7s, 7,199 win/s]
  ep208  loss 0.1522 (pw 0.0007 harm 1.3825)  [7s, 7,208 win/s]
  ep209  loss 0.1524 (pw 0.0007 harm 1.3897)  [7s, 7,204 win/s]
  ep210  loss 0.1514 (pw 0.0007 harm 1.3778)  |  MAE 2.987W  F1 0.9753  저항3종 1.000  잔차 25.1W  [7s 학습 / 0s 평가, 7,211 win/s]
  ep211  loss 0.1516 (pw 0.0007 harm 1.3835)  [7s, 7,163 win/s]
