====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_oddmag — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep127  loss 0.3648 (pw 0.0010 harm 3.3932)  [5s, 9,646 win/s]
  ep128  loss 0.3654 (pw 0.0010 harm 3.4087)  [5s, 9,662 win/s]
  ep129  loss 0.3592 (pw 0.0010 harm 3.3542)  [5s, 9,663 win/s]
  ep130  loss 0.3590 (pw 0.0010 harm 3.3414)  |  MAE 3.082W  F1 0.9786  저항3종 1.000  잔차 24.6W  [5s 학습 / 0s 평가, 9,605 win/s]
  ep131  loss 0.3637 (pw 0.0010 harm 3.4060)  [5s, 9,662 win/s]
  ep132  loss 0.3610 (pw 0.0010 harm 3.3743)  [5s, 9,652 win/s]
  ep133  loss 0.3744 (pw 0.0010 harm 3.5021)  [5s, 9,675 win/s]
  ep134  loss 0.3603 (pw 0.0009 harm 3.3780)  [5s, 9,613 win/s]
  ep135  loss 0.3578 (pw 0.0011 harm 3.3151)  [5s, 9,639 win/s]
  ep136  loss 0.3633 (pw 0.0010 harm 3.3796)  [5s, 9,668 win/s]
  ep137  loss 0.3684 (pw 0.0010 harm 3.4358)  [5s, 9,638 win/s]
  ep138  loss 0.3684 (pw 0.0010 harm 3.4330)  [5s, 9,596 win/s]
  ep139  loss 0.3522 (pw 0.0009 harm 3.3001)  [5s, 9,620 win/s]
  ep140  loss 0.3574 (pw 0.0009 harm 3.3564)  |  MAE 3.109W  F1 0.9762  저항3종 0.998  잔차 24.8W  [5s 학습 / 0s 평가, 9,673 win/s]
  ep141  loss 0.3650 (pw 0.0011 harm 3.3978)  [5s, 9,620 win/s]
  ep142  loss 0.3560 (pw 0.0010 harm 3.3270)  [5s, 9,635 win/s]
  ep143  loss 0.3627 (pw 0.0010 harm 3.3848)  [5s, 9,654 win/s]
  ep144  loss 0.3627 (pw 0.0009 harm 3.4030)  [5s, 9,600 win/s]
  ep145  loss 0.3640 (pw 0.0009 harm 3.4124)  [5s, 9,652 win/s]
  ep146  loss 0.3662 (pw 0.0010 harm 3.4287)  [5s, 9,648 win/s]
  ep147  loss 0.3658 (pw 0.0009 harm 3.4315)  [5s, 9,646 win/s]
  ep148  loss 0.3596 (pw 0.0009 harm 3.3812)  [5s, 9,669 win/s]
  ep149  loss 0.3649 (pw 0.0010 harm 3.4270)  [5s, 9,625 win/s]
  ep150  loss 0.3605 (pw 0.0009 harm 3.3813)  |  MAE 3.017W  F1 0.9773  저항3종 0.999  잔차 24.8W  [5s 학습 / 0s 평가, 9,647 win/s]
  ep151  loss 0.3541 (pw 0.0010 harm 3.3082)  [5s, 9,664 win/s]
  ep152  loss 0.3616 (pw 0.0010 harm 3.3923)  [5s, 9,630 win/s]
  ep153  loss 0.3612 (pw 0.0009 harm 3.3922)  [5s, 9,618 win/s]
  ep154  loss 0.3655 (pw 0.0009 harm 3.4470)  [5s, 9,555 win/s]
  ep155  loss 0.3518 (pw 0.0009 harm 3.3094)  [5s, 9,603 win/s]
  ep156  loss 0.3538 (pw 0.0010 harm 3.2874)  [5s, 9,569 win/s]
  ep157  loss 0.3600 (pw 0.0009 harm 3.3798)  [5s, 9,590 win/s]
  ep158  loss 0.3697 (pw 0.0010 harm 3.4450)  [5s, 9,653 win/s]
  ep159  loss 0.3663 (pw 0.0010 harm 3.4361)  [5s, 9,627 win/s]
  ep160  loss 0.3634 (pw 0.0009 harm 3.4194)  |  MAE 3.066W  F1 0.9784  저항3종 0.998  잔차 25.2W  [5s 학습 / 0s 평가, 9,588 win/s]
  ep161  loss 0.3544 (pw 0.0009 harm 3.3245)  [5s, 9,616 win/s]
  ep162  loss 0.3614 (pw 0.0009 harm 3.3996)  [5s, 9,633 win/s]
  ep163  loss 0.3647 (pw 0.0010 harm 3.4187)  [5s, 9,605 win/s]
  ep164  loss 0.3665 (pw 0.0010 harm 3.4354)  [5s, 9,566 win/s]
  ep165  loss 0.3647 (pw 0.0009 harm 3.4280)  [5s, 9,608 win/s]
  ep166  loss 0.3579 (pw 0.0009 harm 3.3704)  [5s, 9,622 win/s]
  ep167  loss 0.3645 (pw 0.0010 harm 3.4126)  [5s, 9,618 win/s]
  ep168  loss 0.3564 (pw 0.0009 harm 3.3539)  [5s, 9,585 win/s]
  ep169  loss 0.3723 (pw 0.0009 harm 3.5055)  [5s, 9,633 win/s]
  ep170  loss 0.3608 (pw 0.0010 harm 3.3840)  |  MAE 2.907W  F1 0.9783  저항3종 1.000  잔차 24.2W  [5s 학습 / 0s 평가, 9,619 win/s]
  ep171  loss 0.3661 (pw 0.0009 harm 3.4397)  [5s, 9,581 win/s]
  ep172  loss 0.3547 (pw 0.0009 harm 3.3392)  [5s, 9,619 win/s]
  ep173  loss 0.3534 (pw 0.0009 harm 3.3370)  [5s, 9,629 win/s]
  ep174  loss 0.3653 (pw 0.0009 harm 3.4381)  [5s, 9,653 win/s]
