====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ze1 — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep112  loss 0.0697 (pw 0.0016 harm 0.3909)  [5s, 9,549 win/s]
  ep113  loss 0.0705 (pw 0.0016 harm 0.3948)  [5s, 9,554 win/s]
  ep114  loss 0.0699 (pw 0.0016 harm 0.3963)  [5s, 9,552 win/s]
  ep115  loss 0.0694 (pw 0.0016 harm 0.3931)  [5s, 9,551 win/s]
  ep116  loss 0.0683 (pw 0.0015 harm 0.3908)  [5s, 9,540 win/s]
  ep117  loss 0.0691 (pw 0.0015 harm 0.3933)  [5s, 9,552 win/s]
  ep118  loss 0.0686 (pw 0.0016 harm 0.3935)  [5s, 9,436 win/s]
  ep119  loss 0.0668 (pw 0.0015 harm 0.3893)  [5s, 9,556 win/s]
  ep120  loss 0.0681 (pw 0.0015 harm 0.3919)  |  MAE 3.372W  F1 0.9667  저항3종 0.997  잔차 23.7W  [5s 학습 / 0s 평가, 9,554 win/s]
  ep121  loss 0.0671 (pw 0.0015 harm 0.3915)  [5s, 9,573 win/s]
  ep122  loss 0.0702 (pw 0.0016 harm 0.3938)  [5s, 9,568 win/s]
  ep123  loss 0.0677 (pw 0.0016 harm 0.3899)  [5s, 9,573 win/s]
  ep124  loss 0.0670 (pw 0.0015 harm 0.3900)  [5s, 9,569 win/s]
  ep125  loss 0.0669 (pw 0.0015 harm 0.3894)  [5s, 9,567 win/s]
  ep126  loss 0.0660 (pw 0.0015 harm 0.3891)  [5s, 9,572 win/s]
  ep127  loss 0.0679 (pw 0.0015 harm 0.3923)  [5s, 9,562 win/s]
  ep128  loss 0.0665 (pw 0.0015 harm 0.3913)  [5s, 9,573 win/s]
  ep129  loss 0.0664 (pw 0.0015 harm 0.3915)  [5s, 9,573 win/s]
  ep130  loss 0.0667 (pw 0.0015 harm 0.3936)  |  MAE 3.603W  F1 0.9696  저항3종 0.995  잔차 24.4W  [5s 학습 / 0s 평가, 9,569 win/s]
  ep131  loss 0.0653 (pw 0.0014 harm 0.3887)  [5s, 9,559 win/s]
