### [fd0.2 재학습, 순서 복구 후] Sat Aug 22 22:14:02     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep142  loss 0.1803 (pw 0.0016 harm 1.4555)  [11s, 4,463 win/s]
  ep143  loss 0.1800 (pw 0.0016 harm 1.4463)  [11s, 4,506 win/s]
  ep144  loss 0.1785 (pw 0.0015 harm 1.4445)  [11s, 4,458 win/s]
  ep145  loss 0.1798 (pw 0.0015 harm 1.4563)  [11s, 4,471 win/s]
  ep146  loss 0.1812 (pw 0.0015 harm 1.4692)  [11s, 4,431 win/s]
  ep147  loss 0.1804 (pw 0.0015 harm 1.4615)  [11s, 4,471 win/s]
  ep148  loss 0.1797 (pw 0.0015 harm 1.4612)  [11s, 4,487 win/s]
  ep149  loss 0.1792 (pw 0.0015 harm 1.4557)  [11s, 4,455 win/s]
  ep150  loss 0.1771 (pw 0.0015 harm 1.4342)  |  MAE 3.086W  F1 0.9751  저항3종 1.000  잔차 24.7W  [11s 학습 / 1s 평가, 4,481 win/s]
  ep151  loss 0.1798 (pw 0.0015 harm 1.4494)  [11s, 4,432 win/s]
  ep152  loss 0.1793 (pw 0.0015 harm 1.4562)  [11s, 4,457 win/s]
  ep153  loss 0.1758 (pw 0.0015 harm 1.4212)  [11s, 4,487 win/s]
  ep154  loss 0.1750 (pw 0.0015 harm 1.4235)  [11s, 4,464 win/s]
  ep155  loss 0.1794 (pw 0.0015 harm 1.4632)  [11s, 4,500 win/s]
  ep156  loss 0.1784 (pw 0.0016 harm 1.4345)  [11s, 4,467 win/s]
  ep157  loss 0.1791 (pw 0.0015 harm 1.4548)  [11s, 4,442 win/s]
  ep158  loss 0.1792 (pw 0.0016 harm 1.4435)  [11s, 4,513 win/s]
  ep159  loss 0.1770 (pw 0.0015 harm 1.4347)  [11s, 4,461 win/s]
  ep160  loss 0.1828 (pw 0.0015 harm 1.4912)  [11s, 4,390 win/s]
  ep161  loss 0.1782 (pw 0.0015 harm 1.4490)  [11s, 4,383 win/s]
  ep162  loss 0.1789 (pw 0.0015 harm 1.4600)  [11s, 4,419 win/s]
  ep163  loss 0.1783 (pw 0.0015 harm 1.4439)  [11s, 4,445 win/s]
  ep164  loss 0.1787 (pw 0.0015 harm 1.4506)  [11s, 4,424 win/s]
  ep165  loss 0.1793 (pw 0.0015 harm 1.4598)  [11s, 4,359 win/s]
  ep166  loss 0.1746 (pw 0.0015 harm 1.4230)  [11s, 4,426 win/s]
  ep167  loss 0.1774 (pw 0.0015 harm 1.4403)  [11s, 4,386 win/s]
  ep168  loss 0.1783 (pw 0.0015 harm 1.4587)  [11s, 4,424 win/s]
  ep169  loss 0.1779 (pw 0.0015 harm 1.4477)  [11s, 4,408 win/s]
  ep170  loss 0.1794 (pw 0.0015 harm 1.4652)  [11s, 4,398 win/s]
  ep171  loss 0.1748 (pw 0.0014 harm 1.4225)  [11s, 4,431 win/s]
  ep172  loss 0.1766 (pw 0.0014 harm 1.4463)  [11s, 4,416 win/s]
  ep173  loss 0.1785 (pw 0.0014 harm 1.4696)  [11s, 4,417 win/s]
  ep174  loss 0.1756 (pw 0.0015 harm 1.4297)  [11s, 4,397 win/s]
  ep175  loss 0.1769 (pw 0.0015 harm 1.4482)  [11s, 4,433 win/s]
  ep176  loss 0.1796 (pw 0.0015 harm 1.4748)  [11s, 4,462 win/s]
  ep177  loss 0.1781 (pw 0.0015 harm 1.4488)  [11s, 4,479 win/s]
  ep178  loss 0.1766 (pw 0.0014 harm 1.4455)  [11s, 4,391 win/s]
  ep179  loss 0.1779 (pw 0.0014 harm 1.4577)  [11s, 4,425 win/s]
  ep180  loss 0.1782 (pw 0.0014 harm 1.4614)  [11s, 4,434 win/s]
  ep181  loss 0.1762 (pw 0.0015 harm 1.4346)  [11s, 4,439 win/s]
  ep182  loss 0.1762 (pw 0.0014 harm 1.4462)  [11s, 4,522 win/s]
  ep183  loss 0.1761 (pw 0.0015 harm 1.4365)  [11s, 4,478 win/s]
  ep184  loss 0.1760 (pw 0.0015 harm 1.4333)  [11s, 4,449 win/s]
  ep185  loss 0.1763 (pw 0.0014 harm 1.4487)  [11s, 4,454 win/s]
  ep186  loss 0.1772 (pw 0.0014 harm 1.4563)  [11s, 4,442 win/s]
  ep187  loss 0.1758 (pw 0.0014 harm 1.4405)  [11s, 4,498 win/s]
  ep188  loss 0.1766 (pw 0.0014 harm 1.4534)  [11s, 4,441 win/s]
  ep189  loss 0.1744 (pw 0.0014 harm 1.4276)  [11s, 4,495 win/s]
  ep190  loss 0.1742 (pw 0.0014 harm 1.4298)  [11s, 4,453 win/s]
  ep191  loss 0.1746 (pw 0.0014 harm 1.4377)  [11s, 4,463 win/s]
  ep192  loss 0.1771 (pw 0.0015 harm 1.4564)  [11s, 4,482 win/s]
  ep193  loss 0.1773 (pw 0.0014 harm 1.4574)  [11s, 4,553 win/s]
  ep194  loss 0.1746 (pw 0.0014 harm 1.4337)  [11s, 4,436 win/s]
  ep195  loss 0.1767 (pw 0.0015 harm 1.4558)  [11s, 4,458 win/s]
  ep196  loss 0.1763 (pw 0.0014 harm 1.4544)  [11s, 4,494 win/s]
  ep197  loss 0.1771 (pw 0.0015 harm 1.4600)  [11s, 4,508 win/s]
  ep198  loss 0.1747 (pw 0.0014 harm 1.4300)  [11s, 4,484 win/s]
  ep199  loss 0.1747 (pw 0.0014 harm 1.4403)  [11s, 4,374 win/s]
  ep200  loss 0.1766 (pw 0.0014 harm 1.4578)  |  MAE 3.098W  F1 0.9797  저항3종 1.000  잔차 25.3W  [11s 학습 / 1s 평가, 4,398 win/s]
  ep201  loss 0.1745 (pw 0.0014 harm 1.4354)  [11s, 4,421 win/s]
  ep202  loss 0.1749 (pw 0.0014 harm 1.4389)  [11s, 4,551 win/s]
  ep203  loss 0.1723 (pw 0.0014 harm 1.4240)  [11s, 4,564 win/s]
  ep204  loss 0.1753 (pw 0.0014 harm 1.4447)  [11s, 4,562 win/s]
  ep205  loss 0.1774 (pw 0.0014 harm 1.4685)  [11s, 4,503 win/s]
  ep206  loss 0.1743 (pw 0.0014 harm 1.4412)  [11s, 4,558 win/s]
  ep207  loss 0.1764 (pw 0.0014 harm 1.4550)  [11s, 4,539 win/s]
  ep208  loss 0.1759 (pw 0.0014 harm 1.4544)  [11s, 4,478 win/s]
  ep209  loss 0.1759 (pw 0.0014 harm 1.4559)  [11s, 4,460 win/s]
  ep210  loss 0.1734 (pw 0.0014 harm 1.4316)  [11s, 4,462 win/s]
  ep211  loss 0.1772 (pw 0.0014 harm 1.4693)  [11s, 4,434 win/s]
  ep212  loss 0.1752 (pw 0.0013 harm 1.4547)  [11s, 4,473 win/s]
  ep213  loss 0.1748 (pw 0.0014 harm 1.4496)  [11s, 4,439 win/s]
  ep214  loss 0.1767 (pw 0.0014 harm 1.4716)  [11s, 4,450 win/s]
  ep215  loss 0.1751 (pw 0.0014 harm 1.4507)  [11s, 4,442 win/s]
  ep216  loss 0.1739 (pw 0.0014 harm 1.4357)  [11s, 4,443 win/s]
  ep217  loss 0.1765 (pw 0.0014 harm 1.4688)  [11s, 4,406 win/s]
  ep218  loss 0.1719 (pw 0.0014 harm 1.4184)  [11s, 4,374 win/s]
  ep219  loss 0.1736 (pw 0.0013 harm 1.4369)  [11s, 4,384 win/s]
  ep220  loss 0.1744 (pw 0.0014 harm 1.4467)  [11s, 4,394 win/s]
  ep221  loss 0.1738 (pw 0.0014 harm 1.4367)  [11s, 4,446 win/s]
  ep222  loss 0.1728 (pw 0.0014 harm 1.4328)  [11s, 4,458 win/s]
  ep223  loss 0.1766 (pw 0.0014 harm 1.4634)  [11s, 4,471 win/s]
  ep224  loss 0.1757 (pw 0.0013 harm 1.4648)  [11s, 4,458 win/s]
  ep225  loss 0.1746 (pw 0.0014 harm 1.4524)  [11s, 4,455 win/s]
  ep226  loss 0.1731 (pw 0.0013 harm 1.4376)  [11s, 4,445 win/s]
  ep227  loss 0.1757 (pw 0.0014 harm 1.4591)  [11s, 4,415 win/s]
  ep228  loss 0.1728 (pw 0.0014 harm 1.4354)  [11s, 4,469 win/s]
  ep229  loss 0.1744 (pw 0.0013 harm 1.4452)  [11s, 4,446 win/s]
  ep230  loss 0.1732 (pw 0.0014 harm 1.4314)  [11s, 4,482 win/s]
  ep231  loss 0.1730 (pw 0.0014 harm 1.4369)  [11s, 4,505 win/s]
  ep232  loss 0.1724 (pw 0.0014 harm 1.4352)  [11s, 4,435 win/s]
  ep233  loss 0.1748 (pw 0.0013 harm 1.4510)  [11s, 4,415 win/s]
  ep234  loss 0.1728 (pw 0.0014 harm 1.4316)  [11s, 4,406 win/s]
  ep235  loss 0.1704 (pw 0.0013 harm 1.4165)  [11s, 4,485 win/s]
  ep236  loss 0.1724 (pw 0.0013 harm 1.4336)  [11s, 4,555 win/s]
  ep237  loss 0.1721 (pw 0.0013 harm 1.4352)  [11s, 4,540 win/s]
  ep238  loss 0.1730 (pw 0.0014 harm 1.4330)  [11s, 4,459 win/s]
  ep239  loss 0.1755 (pw 0.0013 harm 1.4696)  [11s, 4,453 win/s]
  ep240  loss 0.1725 (pw 0.0014 harm 1.4269)  [11s, 4,454 win/s]
  ep241  loss 0.1716 (pw 0.0014 harm 1.4265)  [11s, 4,468 win/s]
  ep242  loss 0.1719 (pw 0.0014 harm 1.4303)  [11s, 4,489 win/s]
  ep243  loss 0.1744 (pw 0.0013 harm 1.4525)  [11s, 4,528 win/s]
  ep244  loss 0.1737 (pw 0.0013 harm 1.4546)  [11s, 4,476 win/s]
  ep245  loss 0.1743 (pw 0.0013 harm 1.4594)  [11s, 4,491 win/s]
  ep246  loss 0.1739 (pw 0.0013 harm 1.4468)  [11s, 4,466 win/s]
  ep247  loss 0.1735 (pw 0.0013 harm 1.4480)  [11s, 4,476 win/s]
  ep248  loss 0.1698 (pw 0.0013 harm 1.4130)  [11s, 4,464 win/s]
  ep249  loss 0.1725 (pw 0.0013 harm 1.4414)  [11s, 4,480 win/s]
  ep250  loss 0.1740 (pw 0.0013 harm 1.4516)  |  MAE 3.027W  F1 0.9801  저항3종 1.000  잔차 24.8W  [11s 학습 / 1s 평가, 4,410 win/s]
  ep251  loss 0.1745 (pw 0.0014 harm 1.4563)  [11s, 4,419 win/s]
  ep252  loss 0.1747 (pw 0.0013 harm 1.4599)  [11s, 4,421 win/s]
  ep253  loss 0.1716 (pw 0.0013 harm 1.4332)  [11s, 4,385 win/s]
  ep254  loss 0.1716 (pw 0.0014 harm 1.4269)  [11s, 4,384 win/s]
  ep255  loss 0.1735 (pw 0.0013 harm 1.4446)  [11s, 4,411 win/s]
  ep256  loss 0.1731 (pw 0.0013 harm 1.4489)  [11s, 4,404 win/s]
  ep257  loss 0.1733 (pw 0.0013 harm 1.4438)  [11s, 4,460 win/s]
  ep258  loss 0.1743 (pw 0.0013 harm 1.4599)  [11s, 4,424 win/s]
  ep259  loss 0.1733 (pw 0.0013 harm 1.4493)  [11s, 4,395 win/s]
  ep260  loss 0.1717 (pw 0.0013 harm 1.4336)  [11s, 4,424 win/s]
  ep261  loss 0.1740 (pw 0.0013 harm 1.4576)  [11s, 4,446 win/s]
  ep262  loss 0.1716 (pw 0.0013 harm 1.4300)  [11s, 4,440 win/s]
  ep263  loss 0.1718 (pw 0.0013 harm 1.4323)  [11s, 4,376 win/s]
  ep264  loss 0.1699 (pw 0.0013 harm 1.4166)  [11s, 4,388 win/s]
  ep265  loss 0.1717 (pw 0.0013 harm 1.4358)  [11s, 4,454 win/s]
  ep266  loss 0.1725 (pw 0.0013 harm 1.4377)  [11s, 4,409 win/s]
  ep267  loss 0.1724 (pw 0.0013 harm 1.4367)  [11s, 4,447 win/s]
  ep268  loss 0.1747 (pw 0.0014 harm 1.4593)  [11s, 4,431 win/s]
  ep269  loss 0.1732 (pw 0.0013 harm 1.4500)  [11s, 4,446 win/s]
  ep270  loss 0.1709 (pw 0.0013 harm 1.4265)  [11s, 4,381 win/s]
  ep271  loss 0.1713 (pw 0.0013 harm 1.4310)  [11s, 4,420 win/s]
  ep272  loss 0.1737 (pw 0.0013 harm 1.4523)  [11s, 4,419 win/s]
  ep273  loss 0.1715 (pw 0.0013 harm 1.4285)  [11s, 4,417 win/s]
