====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_drop — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep144  loss 0.1564 (pw 0.0008 harm 1.3951)  [5s, 9,692 win/s]
  ep145  loss 0.1546 (pw 0.0008 harm 1.3621)  [5s, 9,703 win/s]
  ep146  loss 0.1582 (pw 0.0009 harm 1.3947)  [5s, 9,675 win/s]
  ep147  loss 0.1581 (pw 0.0008 harm 1.3994)  [5s, 9,631 win/s]
  ep148  loss 0.1525 (pw 0.0008 harm 1.3531)  [5s, 9,673 win/s]
  ep149  loss 0.1568 (pw 0.0008 harm 1.3963)  [5s, 9,690 win/s]
  ep150  loss 0.1536 (pw 0.0008 harm 1.3655)  |  MAE 3.213W  F1 0.9754  저항3종 0.998  잔차 26.0W  [5s 학습 / 0s 평가, 9,678 win/s]
  ep151  loss 0.1594 (pw 0.0008 harm 1.4063)  [5s, 9,667 win/s]
  ep152  loss 0.1554 (pw 0.0008 harm 1.3765)  [5s, 9,686 win/s]
  ep153  loss 0.1531 (pw 0.0008 harm 1.3616)  [5s, 9,720 win/s]
  ep154  loss 0.1516 (pw 0.0008 harm 1.3529)  [5s, 9,522 win/s]
  ep155  loss 0.1538 (pw 0.0008 harm 1.3683)  [5s, 9,643 win/s]
  ep156  loss 0.1581 (pw 0.0009 harm 1.3841)  [5s, 9,677 win/s]
  ep157  loss 0.1553 (pw 0.0008 harm 1.3811)  [5s, 9,673 win/s]
  ep158  loss 0.1568 (pw 0.0009 harm 1.3674)  [5s, 9,638 win/s]
  ep159  loss 0.1563 (pw 0.0008 harm 1.3839)  [5s, 9,673 win/s]
  ep160  loss 0.1565 (pw 0.0008 harm 1.3966)  |  MAE 3.049W  F1 0.9769  저항3종 0.997  잔차 24.2W  [5s 학습 / 0s 평가, 9,687 win/s]
  ep161  loss 0.1545 (pw 0.0008 harm 1.3732)  [5s, 9,633 win/s]
  ep162  loss 0.1543 (pw 0.0008 harm 1.3749)  [5s, 9,645 win/s]
  ep163  loss 0.1550 (pw 0.0008 harm 1.3718)  [5s, 9,683 win/s]
  ep164  loss 0.1562 (pw 0.0008 harm 1.3877)  [5s, 9,719 win/s]
  ep165  loss 0.1563 (pw 0.0008 harm 1.3907)  [5s, 9,635 win/s]
  ep166  loss 0.1541 (pw 0.0008 harm 1.3768)  [5s, 9,643 win/s]
  ep167  loss 0.1539 (pw 0.0008 harm 1.3611)  [5s, 9,690 win/s]
  ep168  loss 0.1528 (pw 0.0008 harm 1.3671)  [5s, 9,706 win/s]
  ep169  loss 0.1583 (pw 0.0008 harm 1.4130)  [5s, 9,620 win/s]
  ep170  loss 0.1538 (pw 0.0008 harm 1.3659)  |  MAE 3.054W  F1 0.9789  저항3종 0.998  잔차 25.2W  [5s 학습 / 0s 평가, 9,684 win/s]
  ep171  loss 0.1512 (pw 0.0008 harm 1.3411)  [5s, 9,702 win/s]
  ep172  loss 0.1549 (pw 0.0008 harm 1.3839)  [5s, 9,654 win/s]
  ep173  loss 0.1512 (pw 0.0007 harm 1.3617)  [5s, 9,678 win/s]
  ep174  loss 0.1535 (pw 0.0008 harm 1.3663)  [5s, 9,678 win/s]
  ep175  loss 0.1532 (pw 0.0008 harm 1.3707)  [5s, 9,702 win/s]
  ep176  loss 0.1529 (pw 0.0008 harm 1.3707)  [5s, 9,661 win/s]
  ep177  loss 0.1579 (pw 0.0008 harm 1.4101)  [5s, 9,656 win/s]
  ep178  loss 0.1536 (pw 0.0008 harm 1.3779)  [5s, 9,671 win/s]
  ep179  loss 0.1518 (pw 0.0008 harm 1.3556)  [5s, 9,704 win/s]
  ep180  loss 0.1526 (pw 0.0008 harm 1.3693)  |  MAE 2.991W  F1 0.9816  저항3종 0.998  잔차 24.6W  [5s 학습 / 0s 평가, 9,639 win/s]
  ep181  loss 0.1524 (pw 0.0008 harm 1.3607)  [5s, 9,649 win/s]
  ep182  loss 0.1513 (pw 0.0008 harm 1.3534)  [5s, 9,691 win/s]
  ep183  loss 0.1543 (pw 0.0008 harm 1.3761)  [5s, 9,725 win/s]
  ep184  loss 0.1522 (pw 0.0008 harm 1.3609)  [5s, 9,626 win/s]
  ep185  loss 0.1514 (pw 0.0008 harm 1.3631)  [5s, 9,668 win/s]
  ep186  loss 0.1533 (pw 0.0008 harm 1.3783)  [5s, 9,673 win/s]
  ep187  loss 0.1534 (pw 0.0008 harm 1.3770)  [5s, 9,680 win/s]
  ep188  loss 0.1505 (pw 0.0008 harm 1.3553)  [5s, 9,589 win/s]
  ep189  loss 0.1531 (pw 0.0008 harm 1.3709)  [5s, 9,653 win/s]
