====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_mix — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep155  loss 0.1772 (pw 0.0011 harm 1.5693)  [5s, 9,490 win/s]
  ep156  loss 0.1829 (pw 0.0011 harm 1.5946)  [5s, 9,566 win/s]
  ep157  loss 0.1798 (pw 0.0011 harm 1.5828)  [5s, 9,500 win/s]
  ep158  loss 0.1803 (pw 0.0011 harm 1.5698)  [5s, 9,533 win/s]
  ep159  loss 0.1789 (pw 0.0011 harm 1.5739)  [5s, 9,468 win/s]
  ep160  loss 0.1825 (pw 0.0011 harm 1.6192)  |  MAE 3.421W  F1 0.9735  저항3종 1.000  잔차 28.1W  [5s 학습 / 0s 평가, 9,516 win/s]
  ep161  loss 0.1773 (pw 0.0011 harm 1.5606)  [5s, 9,508 win/s]
  ep162  loss 0.1789 (pw 0.0011 harm 1.5826)  [5s, 9,526 win/s]
  ep163  loss 0.1784 (pw 0.0011 harm 1.5674)  [5s, 9,518 win/s]
  ep164  loss 0.1845 (pw 0.0011 harm 1.6283)  [5s, 9,532 win/s]
  ep165  loss 0.1785 (pw 0.0011 harm 1.5776)  [5s, 9,511 win/s]
  ep166  loss 0.1779 (pw 0.0011 harm 1.5823)  [5s, 9,523 win/s]
  ep167  loss 0.1786 (pw 0.0011 harm 1.5730)  [5s, 9,519 win/s]
  ep168  loss 0.1781 (pw 0.0011 harm 1.5798)  [5s, 9,542 win/s]
  ep169  loss 0.1816 (pw 0.0011 harm 1.6119)  [5s, 9,518 win/s]
  ep170  loss 0.1774 (pw 0.0011 harm 1.5649)  |  MAE 3.403W  F1 0.9727  저항3종 1.000  잔차 27.8W  [5s 학습 / 0s 평가, 9,511 win/s]
  ep171  loss 0.1799 (pw 0.0011 harm 1.5839)  [5s, 9,514 win/s]
  ep172  loss 0.1776 (pw 0.0011 harm 1.5733)  [5s, 9,512 win/s]
  ep173  loss 0.1775 (pw 0.0010 harm 1.5865)  [5s, 9,533 win/s]
  ep174  loss 0.1778 (pw 0.0011 harm 1.5759)  [5s, 9,498 win/s]
  ep175  loss 0.1778 (pw 0.0010 harm 1.5818)  [5s, 9,540 win/s]
  ep176  loss 0.1767 (pw 0.0010 harm 1.5748)  [5s, 9,510 win/s]
  ep177  loss 0.1847 (pw 0.0011 harm 1.6431)  [5s, 9,537 win/s]
  ep178  loss 0.1795 (pw 0.0011 harm 1.5996)  [5s, 9,498 win/s]
  ep179  loss 0.1805 (pw 0.0011 harm 1.6036)  [5s, 9,533 win/s]
  ep180  loss 0.1772 (pw 0.0010 harm 1.5792)  |  MAE 3.228W  F1 0.9757  저항3종 1.000  잔차 26.8W  [5s 학습 / 0s 평가, 9,495 win/s]
  ep181  loss 0.1774 (pw 0.0011 harm 1.5734)  [5s, 9,536 win/s]
  ep182  loss 0.1804 (pw 0.0011 harm 1.6052)  [5s, 9,465 win/s]
  ep183  loss 0.1799 (pw 0.0011 harm 1.5987)  [5s, 9,532 win/s]
  ep184  loss 0.1775 (pw 0.0011 harm 1.5766)  [5s, 9,493 win/s]
  ep185  loss 0.1770 (pw 0.0010 harm 1.5841)  [5s, 9,549 win/s]
  ep186  loss 0.1792 (pw 0.0010 harm 1.6044)  [5s, 9,491 win/s]
  ep187  loss 0.1766 (pw 0.0011 harm 1.5720)  [5s, 9,554 win/s]
  ep188  loss 0.1755 (pw 0.0010 harm 1.5732)  [5s, 9,487 win/s]
  ep189  loss 0.1756 (pw 0.0011 harm 1.5599)  [5s, 9,550 win/s]
  ep190  loss 0.1752 (pw 0.0010 harm 1.5724)  |  MAE 3.392W  F1 0.9729  저항3종 1.000  잔차 28.0W  [5s 학습 / 0s 평가, 9,478 win/s]
  ep191  loss 0.1739 (pw 0.0010 harm 1.5572)  [5s, 9,526 win/s]
  ep192  loss 0.1760 (pw 0.0010 harm 1.5673)  [5s, 9,494 win/s]
  ep193  loss 0.1772 (pw 0.0010 harm 1.5790)  [5s, 9,521 win/s]
  ep194  loss 0.1757 (pw 0.0010 harm 1.5693)  [5s, 9,500 win/s]
  ep195  loss 0.1757 (pw 0.0010 harm 1.5775)  [5s, 9,533 win/s]
  ep196  loss 0.1796 (pw 0.0010 harm 1.6133)  [5s, 9,490 win/s]
  ep197  loss 0.1788 (pw 0.0010 harm 1.6051)  [5s, 9,527 win/s]
  ep198  loss 0.1805 (pw 0.0011 harm 1.6067)  [5s, 9,521 win/s]
  ep199  loss 0.1771 (pw 0.0010 harm 1.5870)  [5s, 9,503 win/s]
  ep200  loss 0.1740 (pw 0.0010 harm 1.5633)  |  MAE 3.235W  F1 0.9755  저항3종 1.000  잔차 26.6W  [5s 학습 / 0s 평가, 9,515 win/s]
  ep201  loss 0.1766 (pw 0.0010 harm 1.5867)  [5s, 9,530 win/s]
  ep202  loss 0.1757 (pw 0.0010 harm 1.5729)  [5s, 9,531 win/s]
  ep203  loss 0.1752 (pw 0.0010 harm 1.5767)  [5s, 9,506 win/s]
  ep204  loss 0.1757 (pw 0.0010 harm 1.5786)  [5s, 9,534 win/s]
  ep205  loss 0.1780 (pw 0.0010 harm 1.6039)  [5s, 9,519 win/s]
  ep206  loss 0.1758 (pw 0.0010 harm 1.5837)  [5s, 9,528 win/s]
  ep207  loss 0.1782 (pw 0.0010 harm 1.5987)  [5s, 9,508 win/s]
  ep208  loss 0.1753 (pw 0.0010 harm 1.5730)  [5s, 9,539 win/s]
  ep209  loss 0.1781 (pw 0.0010 harm 1.6104)  [5s, 9,498 win/s]
  ep210  loss 0.1741 (pw 0.0010 harm 1.5678)  |  MAE 3.280W  F1 0.9737  저항3종 1.000  잔차 27.0W  [5s 학습 / 0s 평가, 9,537 win/s]
  ep211  loss 0.1785 (pw 0.0010 harm 1.6116)  [5s, 9,482 win/s]
